sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.5363;4.4055;8.9402;0.5661;4.4276;8.7319;-0.0154;0.0018;0.1916;-0.0393;0.0437;-0.0138;13.0;-4.8;-29.4;-42.72;161.21;-27.27;-3.95;3.1;1010.59;22.268;55.701347;13.169378;239.35;NaN;;;50.532257;;0 / 2;50;2020-12-02 19:57:36:019
0.4166;4.1612;8.9354;0.4397;4.1539;8.8726;0.0368;0.017;0.2137;-0.0497;0.043;0.0027;13.0;-3.42;-28.86;-44.76;173.88;-25.06;-2.84;3.1;1010.59;19.229;55.701347;13.169378;239.35;NaN;;;50.532257;;0 / 1;550;2020-12-02 19:57:36:519
0.2466;4.1229;9.0408;0.2902;4.0089;8.9451;-0.0436;0.1141;0.0957;-0.0247;0.0149;-0.0168;13.0;-3.24;-27.72;-43.86;153.87;-24.32;-2.19;3.1;1010.59;21.263;55.701347;13.169378;239.35;NaN;;;50.532257;;0 / 1;1050;2020-12-02 19:57:37:019
0.3208;4.0008;9.2012;0.2645;3.9641;8.9658;-0.0299;0.0487;0.2856;-0.0302;-0.0058;0.0052;13.0;-4.38;-27.18;-43.86;158.54;-23.84;-1.69;3.1;1010.57;19.505;55.701347;13.169378;239.35;NaN;;;50.532257;;0 / 1;1550;2020-12-02 19:57:37:519
0.261;4.0511;9.1773;0.243;3.9638;8.9666;0.018;0.0873;0.2107;-0.0571;-0.0229;0.0052;13.0;-3.78;-27.18;-44.76;156.75;-23.84;-1.55;3.1;1010.58;21.902;55.701347;13.169378;239.35;NaN;;;50.532257;;0 / 1;2050;2020-12-02 19:57:38:019
0.2442;4.0511;9.0959;0.2697;3.9637;8.9659;-0.0302;0.0611;0.1802;0.0095;0.0211;0.0229;13.0;-2.04;-26.94;-45.3;172.73;-23.86;-1.49;3.1;1010.58;36.328;55.701347;13.169378;239.35;NaN;;;50.532257;;0 / 1;2550;2020-12-02 19:57:38:519
0.3687;3.9745;9.1868;0.35;3.9426;8.9724;0.0188;0.0319;0.2144;0.0095;0.0437;-0.0083;13.0;-4.44;-26.52;-44.76;161.18;-23.71;-2.23;3.1;1010.6;31.99;55.701347;13.169378;239.35;NaN;;;50.532257;;0 / 1;3050;2020-12-02 19:57:39:019
0.3687;3.9625;9.1389;0.3432;3.9339;8.9765;0.0636;0.0266;0.1963;-0.021;-0.0217;-0.0016;13.0;-4.02;-26.58;-44.22;161.77;-23.65;-2.19;3.1;1010.59;22.053;55.701347;13.169378;239.35;NaN;;;50.532257;;0 / 1;3550;2020-12-02 19:57:39:519
0.4789;3.9146;9.1844;0.4539;3.8558;9.0054;-0.0349;-0.0032;0.2059;-0.0644;-0.0046;0.0644;13.0;-4.92;-26.4;-44.88;154.96;-23.38;-2.83;3.1;1010.59;40.136;55.701347;13.169378;239.35;NaN;;;50.532257;;0 / 1;4050;2020-12-02 19:57:40:019
0.4645;3.8165;9.0863;0.4658;3.8189;9.0205;-0.0622;0.015;0.087;-0.0222;-0.0089;0.0088;13.0;-5.28;-26.22;-44.52;157.65;-23.0;-3.08;3.1;1010.57;27.972;55.701347;13.169378;239.35;NaN;;;50.532257;;0 / 1;4550;2020-12-02 19:57:40:519
0.4118;3.9027;9.0839;0.4314;3.7634;9.0455;0.0065;0.089;-0.0399;0.0315;-0.0174;-0.0211;13.0;-3.66;-27.0;-46.08;166.12;-22.54;-2.75;3.1;1010.57;20.64;55.701347;13.169378;239.35;NaN;;;50.532257;;0 / 1;5050;2020-12-02 19:57:41:019
0.2969;3.759;9.1318;0.3725;3.7205;9.0658;0.0949;0.0127;0.3528;0.0767;-0.0358;-0.0107;13.0;-3.0;-26.82;-46.86;171.47;-22.3;-2.35;3.1;1010.58;21.494;55.701347;13.169378;239.35;NaN;;;50.532257;;0 / 1;5550;2020-12-02 19:57:41:519
0.2538;3.5699;9.2539;0.3136;3.5694;9.1286;-0.0369;0.0206;0.186;0.0034;-0.0156;0.0027;13.0;-4.86;-24.72;-45.12;153.27;-21.34;-1.97;3.1;1010.57;22.64;55.701347;13.169378;239.35;NaN;;;50.532257;;0 / 1;6051;2020-12-02 19:57:42:020
0.3328;3.6058;9.1701;0.3488;3.5514;9.1343;-0.021;0.051;0.0372;-0.0027;0.0235;-0.0168;13.0;-3.72;-25.98;-45.6;163.43;-21.23;-2.19;3.1;1010.58;20.143;55.701347;13.169378;239.35;NaN;;;50.532257;;0 / 2;6550;2020-12-02 19:57:42:519
0.2753;3.6201;9.1916;0.3447;3.5592;9.1315;-0.0726;0.0471;0.0657;0.0163;0.0113;-0.026;13.0;-5.52;-24.78;-43.98;163.75;-21.26;-2.17;3.1;1010.57;21.296;55.701347;13.169378;239.35;NaN;;;50.532257;;0 / 2;7050;2020-12-02 19:57:43:019
0.2969;3.6273;9.1796;0.3406;3.5593;9.1316;-5.0E-4;0.0325;0.157;0.0187;9.0E-4;9.0E-4;13.0;-3.9;-25.38;-45.96;161.36;-21.27;-2.22;3.1;1010.57;31.176;55.701347;13.169378;239.35;NaN;;;50.532257;;0 / 1;7551;2020-12-02 19:57:43:520
0.3352;3.5579;9.2467;0.3645;3.5729;9.1253;0.0333;0.0591;0.1558;0.0089;0.0265;3.0E-4;13.0;-7.02;-22.92;-42.78;136.93;-21.38;-2.27;3.1;1010.58;36.656;55.701347;13.169378;239.35;NaN;;;50.532257;;0 / 0;8050;2020-12-02 19:57:44:019
0.4908;3.7351;9.1389;0.5226;3.6875;9.0719;-0.0156;0.003;0.1361;0.0205;-0.0168;0.0351;13.0;-5.1;-26.34;-45.48;159.56;-21.91;-3.03;3.1;1010.58;19.868;55.701347;13.169378;239.35;NaN;;;50.532257;;0 / 0;8550;2020-12-02 19:57:44:519
0.589;3.8189;9.1222;0.6485;3.7613;9.0334;0.0526;0.0142;0.1976;0.0309;-0.0358;0.0241;13.0;-9.18;-24.3;-42.18;134.42;-22.55;-4.11;3.1;1010.59;21.35;55.701347;13.169378;239.35;NaN;;;50.532257;;0 / 0;9051;2020-12-02 19:57:45:020